relative_im_path,bbox_x1,bbox_y1,bbox_x2,bbox_y2
00001.jpg,39,116,569,375
00002.jpg,36,116,868,587
00003.jpg,85,109,601,381
00004.jpg,621,393,1484,1096
00005.jpg,14,36,133,99
00006.jpg,259,289,515,416
00007.jpg,88,80,541,397
00008.jpg,73,79,591,410
00009.jpg,20,126,1269,771
00010.jpg,21,110,623,367
00011.jpg,51,93,601,393
00012.jpg,6,62,499,286
00013.jpg,30,36,418,307
00014.jpg,31,246,778,540
00015.jpg,32,77,589,379
00016.jpg,27,49,611,396
00017.jpg,39,52,233,150
00018.jpg,3,8,190,147
00019.jpg,247,287,1366,761
00020.jpg,17,281,961,596
00021.jpg,17,156,695,375
00022.jpg,212,538,1893,1131
00023.jpg,11,28,476,234
00024.jpg,53,126,973,621
00025.jpg,34,87,567,343
00026.jpg,30,174,598,379
00027.jpg,80,107,606,336
00028.jpg,45,115,585,382
00029.jpg,28,139,1564,1126
00030.jpg,82,109,874,521
00031.jpg,55,318,446,564
00032.jpg,12,31,471,350
00033.jpg,34,197,1011,656
00034.jpg,37,63,614,397
00035.jpg,223,87,1111,670
00036.jpg,138,41,521,223
00037.jpg,31,87,616,344
00038.jpg,16,89,459,326
00039.jpg,53,113,614,350
00040.jpg,214,110,660,403
00041.jpg,61,55,566,408
00042.jpg,28,61,622,371
00043.jpg,22,39,588,362
00044.jpg,220,193,537,364
00045.jpg,12,108,489,297
00046.jpg,28,80,759,466
00047.jpg,84,248,1102,899
00048.jpg,142,69,753,451
00049.jpg,166,543,887,903
00050.jpg,20,96,564,341
00051.jpg,41,181,607,465
00052.jpg,39,29,774,395
00053.jpg,161,191,425,307
00054.jpg,58,562,1528,1081
00055.jpg,80,120,582,391
00056.jpg,32,48,472,267
00057.jpg,260,138,972,439
00058.jpg,11,35,256,173
00059.jpg,68,91,607,354
00060.jpg,129,120,345,269
00061.jpg,11,104,1011,742
00062.jpg,19,21,425,265
00063.jpg,175,330,928,647
00064.jpg,97,39,925,700
00065.jpg,63,175,417,320
00066.jpg,30,39,221,125
00067.jpg,129,89,594,432
00068.jpg,32,43,598,350
00069.jpg,142,124,675,445
00070.jpg,220,313,1054,976
00071.jpg,8,12,639,299
00072.jpg,92,271,1178,749
00073.jpg,15,12,314,230
00074.jpg,14,12,309,223
00075.jpg,45,74,522,253
00076.jpg,12,27,284,166
00077.jpg,25,25,3502,2017
00078.jpg,36,88,611,417
00079.jpg,165,126,749,425
00080.jpg,20,21,292,217
00081.jpg,10,55,540,271
00082.jpg,63,113,597,413
00083.jpg,55,48,294,205
00084.jpg,27,67,620,474
00085.jpg,15,80,629,402
00086.jpg,119,300,1416,871
00087.jpg,17,36,455,215
00088.jpg,171,176,2373,1751
00089.jpg,49,195,1003,617
00090.jpg,5,43,296,211
00091.jpg,49,57,494,419
00092.jpg,101,84,492,272
00093.jpg,23,53,258,144
00094.jpg,19,60,783,440
00095.jpg,110,171,1213,648
00096.jpg,39,67,346,206
00097.jpg,3,7,76,50
00098.jpg,65,37,578,360
00099.jpg,27,60,486,364
00100.jpg,22,180,454,355
00101.jpg,70,39,940,742
00102.jpg,99,130,396,222
00103.jpg,85,107,609,381
00104.jpg,1,76,480,315
00105.jpg,57,266,967,623
00106.jpg,69,75,236,161
00107.jpg,24,17,249,163
00108.jpg,7,27,212,147
00109.jpg,18,14,248,168
00110.jpg,19,2,591,387
00111.jpg,52,6,759,513
00112.jpg,231,103,430,226
00113.jpg,91,148,700,582
00114.jpg,19,72,624,397
00115.jpg,26,90,376,243
00116.jpg,132,120,667,401
00117.jpg,84,44,663,342
00118.jpg,87,235,591,412
00119.jpg,173,370,1207,960
00120.jpg,3,19,195,114
00121.jpg,49,143,487,455
00122.jpg,72,67,233,176
00123.jpg,151,568,1954,1271
00124.jpg,14,88,271,178
00125.jpg,135,761,1894,1353
00126.jpg,44,123,778,487
00127.jpg,69,103,537,322
00128.jpg,86,78,355,284
00129.jpg,50,80,592,273
00130.jpg,95,161,543,368
00131.jpg,275,195,863,474
00132.jpg,99,78,557,389
00133.jpg,11,126,426,360
00134.jpg,1,2,267,185
00135.jpg,19,735,2669,2192
00136.jpg,21,35,279,195
00137.jpg,45,99,593,403
00138.jpg,130,282,1425,900
00139.jpg,72,215,628,481
00140.jpg,62,95,633,434
00141.jpg,13,106,476,260
00142.jpg,78,300,952,633
00143.jpg,72,51,566,412
00144.jpg,66,59,283,202
00145.jpg,135,36,1181,885
00146.jpg,2,5,298,162
00147.jpg,8,12,770,309
00148.jpg,24,78,608,379
00149.jpg,34,1,242,179
00150.jpg,11,208,596,386
00151.jpg,8,37,294,150
00152.jpg,23,66,499,311
00153.jpg,6,138,627,361
00154.jpg,17,105,385,243
00155.jpg,76,4,1585,1120
00156.jpg,22,21,211,139
00157.jpg,32,130,973,661
00158.jpg,75,236,1196,846
00159.jpg,37,139,988,694
00160.jpg,114,46,546,287
00161.jpg,12,83,629,354
00162.jpg,38,66,548,385
00163.jpg,46,84,661,428
00164.jpg,13,29,239,174
00165.jpg,27,65,490,220
00166.jpg,4,69,402,245
00167.jpg,19,27,429,258
00168.jpg,110,96,565,389
00169.jpg,2,22,140,81
00170.jpg,48,71,615,453
00171.jpg,41,42,262,170
00172.jpg,6,108,493,267
00173.jpg,26,61,508,342
00174.jpg,13,29,249,159
00175.jpg,69,120,739,502
00176.jpg,45,85,1005,558
00177.jpg,98,22,650,302
00178.jpg,5,28,285,148
00179.jpg,42,113,601,439
